Date,Open,High,Low,Close,Volume
2015-11-01,15.92,16.21,15.79,16.04,25161301.0
2015-10-25,16.34,16.66,15.93,16.52,65417223.0
2015-10-18,16.84,16.99,16.37,16.39,65976635.0
2015-10-11,15.97,16.27,15.85,16.26,86931787.0
2015-10-04,13.95,14.5,13.88,14.49,98242132.0
2015-09-27,13.96,14.11,13.88,13.98,34885654.0
2015-09-20,14.6,14.71,14.18,14.48,53111926.0
2015-09-13,13.0,13.28,12.62,13.21,63781533.0
2015-09-06,13.28,13.43,13.06,13.39,45569737.0
2015-08-30,13.76,14.4,13.75,14.25,94381323.0
2015-08-23,16.14,16.16,15.24,15.39,84174945.0
2015-08-16,14.92,14.99,14.36,14.49,33094266.0
2015-08-09,13.42,13.85,13.32,13.4,50618230.0
2015-08-02,13.84,13.97,13.58,13.75,41361098.0
2015-07-26,13.41,14.13,13.17,14.08,141204170.0
2015-07-19,16.05,16.05,15.37,15.42,67369905.0
2015-07-12,16.98,17.0,16.63,16.75,31843256.0
2015-07-05,17.39,17.67,17.37,17.63,35636567.0
2015-06-28,18.15,18.26,18.06,18.09,19863799.0
2015-06-21,19.03,19.07,18.52,18.64,45124557.0
2015-06-14,18.68,18.77,18.5,18.55,22851006.0
2015-06-07,18.82,19.0,18.67,18.83,29508613.0
2015-05-31,19.65,19.79,19.48,19.58,16940577.0
2015-05-24,19.95,20.06,19.82,19.83,22209704.0
2015-05-17,20.64,20.98,20.52,20.72,25460824.0
2015-05-10,19.94,20.06,19.64,19.97,24672137.0
2015-05-03,19.91,20.27,19.89,20.27,30991676.0
2015-04-26,19.62,19.83,19.36,19.36,41542949.0
2015-04-19,19.84,20.06,19.66,19.72,25575897.0
2015-04-12,19.28,19.49,19.27,19.45,41731993.0
2015-04-05,19.07,19.35,18.76,18.99,47542822.0
2015-03-29,18.93,19.15,18.63,18.84,35143435.0
2015-03-22,18.95,19.48,18.89,19.33,55471948.0
2015-03-15,18.16,18.17,17.56,18.07,38433465.0
2015-03-08,19.48,19.48,18.51,18.58,106781637.0
2015-03-01,21.17,21.48,21.11,21.28,33900134.0
2015-02-22,20.65,20.93,20.42,20.45,28204698.0
2015-02-15,21.3,21.56,21.2,21.26,20499431.0
2015-02-08,21.75,21.97,21.31,21.33,83701945.0
2015-02-01,21.67,22.33,21.3,22.29,51653135.0
2015-01-25,22.22,22.31,21.62,21.74,51411334.0
2015-01-18,21.71,22.32,21.68,22.16,68948493.0
2015-01-11,20.13,20.73,20.13,20.71,56338994.0
2015-01-04,18.07,18.95,17.95,18.94,47287443.0
2014-12-28,18.35,18.48,18.04,18.24,39305822.0
2014-12-21,18.72,19.03,18.53,18.53,46674476.0
2014-12-14,18.95,19.15,18.57,18.65,43489867.0
2014-12-07,18.84,19.11,18.65,18.75,46715243.0
2014-11-30,19.27,19.28,18.09,18.36,113272061.0
2014-11-23,20.23,20.29,19.57,19.88,45995742.0
2014-11-16,17.64,19.18,17.54,19.02,110737702.0
2014-11-09,17.56,18.69,17.54,18.64,136476895.0
2014-11-02,17.33,17.79,16.89,17.21,103841372.0
2014-10-26,20.53,20.64,20.27,20.47,16306208.0
2014-10-19,21.41,21.44,20.68,20.69,54512992.0
2014-10-12,21.13,21.61,20.67,20.77,52079023.0
2014-10-05,21.25,21.25,20.63,20.63,72263735.0
2014-09-28,22.2,22.23,21.92,21.98,30222945.0
2014-09-21,23.1,23.13,22.49,22.66,51690900.0
2014-09-14,24.03,24.2,23.79,23.88,32421604.0
2014-09-07,25.01,25.1,24.66,25.07,29706742.0
2014-08-31,26.37,26.74,26.29,26.69,16430554.0
2014-08-24,26.13,26.23,25.87,26.1,15593628.0
2014-08-17,26.65,27.04,26.58,26.82,29043535.0
2014-08-10,26.81,27.08,26.63,26.78,13863457.0
2014-08-03,26.22,27.52,25.93,26.2,30962952.0
2014-07-27,26.1,26.83,26.04,26.82,37295260.0
2014-07-20,26.68,26.97,26.46,26.94,29641450.0
