Date,Open,High,Low,Close,Volume
2015-11-01,111.31,111.81,111.29,111.68,2646105.0
2015-10-25,111.81,111.84,110.96,111.5,4868351.0
2015-10-18,113.24,113.44,112.43,112.49,7328038.0
2015-10-11,110.54,111.05,110.23,110.87,7907263.0
2015-10-04,108.54,109.32,108.54,108.99,7730647.0
2015-09-27,109.87,110.03,109.55,109.81,5209493.0
2015-09-20,109.1,109.38,108.82,109.21,6794284.0
2015-09-13,105.65,106.2,105.27,106.16,4023894.0
2015-09-06,107.14,107.56,107.07,107.49,4025022.0
2015-08-30,108.17,109.3,108.12,108.7,7558923.0
2015-08-23,110.93,111.33,110.12,111.13,13917638.0
2015-08-16,107.07,107.41,106.54,106.85,3509238.0
2015-08-09,104.56,105.38,104.55,104.65,4400915.0
2015-08-02,105.41,105.75,104.69,104.93,6689175.0
2015-07-26,103.61,105.59,103.43,105.35,11572679.0
2015-07-19,109.11,109.16,108.4,108.65,14858273.0
2015-07-12,111.18,111.71,111.03,111.49,3594918.0
2015-07-05,111.66,111.84,111.41,111.76,3838553.0
2015-06-28,112.2,112.68,112.13,112.56,4392589.0
2015-06-21,115.34,115.46,114.95,115.12,4611647.0
2015-06-14,113.06,113.5,112.96,113.23,2998483.0
2015-06-07,111.6,112.39,111.57,112.24,5561283.0
2015-05-31,114.14,114.48,114.0,114.1,3407489.0
2015-05-24,115.51,115.93,115.32,115.6,1780191.0
2015-05-17,116.8,117.63,116.68,117.53,4447333.0
2015-05-10,114.34,114.43,113.59,113.97,9964072.0
2015-05-03,112.42,113.31,112.28,113.08,7597006.0
2015-04-26,113.96,114.07,112.77,113.05,7152913.0
2015-04-19,115.38,115.79,115.23,115.6,3496313.0
2015-04-12,116.0,116.19,115.5,115.97,3932404.0
2015-04-05,115.47,115.72,114.68,115.28,3884072.0
2015-03-29,115.14,115.36,114.45,115.06,4921741.0
2015-03-22,112.71,114.0,112.67,113.57,8033444.0
2015-03-15,111.1,111.28,110.51,110.88,4557576.0
2015-03-08,113.17,113.26,111.7,111.86,11190846.0
2015-03-01,116.74,117.07,116.16,116.16,8255636.0
2015-02-22,116.1,116.46,115.05,115.28,6681734.0
2015-02-15,118.05,118.58,117.79,117.98,4108870.0
2015-02-08,119.15,119.52,117.95,118.64,13206906.0
2015-02-01,121.3,123.55,120.92,123.45,14555862.0
2015-01-25,124.43,124.5,123.35,124.23,6270911.0
2015-01-18,121.73,123.15,121.7,122.52,14428223.0
2015-01-11,116.51,117.34,116.5,117.26,7962886.0
2015-01-04,112.49,114.8,112.32,114.08,7109594.0
2014-12-28,114.82,114.98,114.53,114.83,3765581.0
2014-12-21,115.06,115.22,114.77,114.77,4652333.0
2014-12-14,117.39,117.8,116.68,117.41,4736535.0
2014-12-07,115.16,115.18,114.24,114.43,6330980.0
2014-11-30,113.53,113.83,111.95,112.11,9616332.0
2014-11-23,115.58,115.96,114.47,115.39,6564258.0
2014-11-16,110.76,114.72,110.65,114.47,14173586.0
2014-11-09,110.78,113.15,110.73,112.97,10916540.0
2014-11-02,111.83,112.88,111.66,112.66,18209615.0
2014-10-26,118.62,118.63,118.12,118.35,3611311.0
2014-10-19,119.06,119.23,118.42,118.99,8060834.0
2014-10-12,117.7,117.74,117.19,117.59,4653307.0
2014-10-05,115.17,115.51,114.42,114.61,11304593.0
2014-09-28,117.02,117.1,116.58,117.06,4185425.0
2014-09-21,117.51,117.57,116.72,117.09,10931243.0
2014-09-14,118.63,118.9,118.07,118.38,8129457.0
2014-09-07,121.83,122.06,121.63,122.06,3490704.0
2014-08-31,123.75,124.22,123.62,123.86,3684122.0
2014-08-24,123.09,123.33,122.57,123.19,4739968.0
2014-08-17,124.52,126.07,124.41,125.48,13071958.0
2014-08-10,126.08,126.41,125.89,126.19,5729316.0
2014-08-03,124.54,124.81,124.23,124.38,7397317.0
2014-07-27,124.48,125.93,124.43,125.79,5644498.0
2014-07-20,125.79,126.21,125.67,126.13,6461677.0
2014-07-13,128.41,128.83,128.38,128.78,4322535.0
2014-07-06,126.79,127.29,126.61,127.16,4922466.0
2014-06-29,126.88,127.17,126.65,126.66,4200393.0
2014-06-22,126.32,127.07,126.21,126.5,9955149.0
2014-06-15,122.57,123.04,122.51,122.96,4026822.0
2014-06-08,120.68,120.77,119.94,120.61,4808750.0
2014-06-01,120.76,120.81,119.62,120.43,8753575.0
2014-05-25,124.6,124.66,124.19,124.51,2206288.0
2014-05-18,124.35,124.77,124.29,124.5,4052154.0
2014-05-11,124.39,124.47,123.82,124.1,3119978.0
2014-05-04,123.69,125.67,123.33,125.06,9914822.0
2014-04-27,125.18,125.71,125.07,125.43,7025124.0
2014-04-20,125.38,125.53,124.57,124.75,5902491.0
2014-04-13,127.04,127.31,126.73,126.93,4699538.0
2014-04-06,125.2,125.96,124.86,125.57,7278979.0
2014-03-30,124.23,124.96,123.88,124.56,7253673.0
2014-03-23,129.04,129.09,128.41,128.47,7246489.0
2014-03-16,133.68,133.69,132.35,133.1,11949426.0
2014-03-09,128.25,129.23,128.21,129.09,7577498.0
2014-03-02,128.27,128.35,127.15,127.62,10588738.0
2014-02-23,127.57,128.07,127.15,127.58,7306796.0
2014-02-16,126.99,127.38,126.75,127.15,11180946.0
2014-02-09,121.24,122.24,121.23,122.17,6683018.0
2014-02-02,120.65,120.86,119.46,120.09,7984890.0
2014-01-26,122.06,122.5,121.55,122.29,8540453.0
2014-01-19,120.35,121.02,120.2,120.93,7926430.0
2014-01-12,119.72,120.43,119.58,120.26,7994809.0
2014-01-05,118.64,119.62,118.59,119.29,5879119.0
2013-12-29,117.31,117.38,116.85,117.12,4207991.0
2013-12-22,115.38,116.47,115.06,115.94,14697716.0
2013-12-15,118.9,119.49,118.76,119.38,6484891.0
2013-12-08,118.86,119.26,118.01,118.55,7910040.0
2013-12-01,120.67,121.05,120.62,120.7,2364671.0
2013-11-24,120.24,120.4,119.82,119.92,6776461.0
2013-11-17,124.16,124.52,124.07,124.32,4664240.0
2013-11-10,124.46,124.46,123.62,124.28,8427259.0
2013-11-03,126.86,127.17,126.05,126.95,9571847.0
2013-10-27,129.53,130.92,129.46,130.46,8771039.0
2013-10-20,126.87,127.33,126.6,126.85,5350480.0
2013-10-13,122.37,122.81,121.85,122.6,15972630.0
2013-10-06,127.05,127.15,126.0,126.53,6924926.0
2013-09-29,128.86,129.58,128.84,128.97,7454162.0
2013-09-22,130.6,130.91,127.9,127.96,19558103.0
2013-09-15,127.16,127.96,126.21,127.82,12060317.0
2013-09-08,133.42,134.4,133.33,134.15,8449142.0
2013-09-01,134.65,135.71,134.44,134.62,7689483.0
2013-08-25,132.58,135.24,132.5,134.9,11623318.0
2013-08-18,132.56,133.27,131.39,132.58,14447036.0
2013-08-11,126.51,127.27,126.3,126.86,6194029.0
2013-08-04,126.74,127.25,126.32,126.36,6466232.0
2013-07-28,128.11,128.97,126.78,128.78,6149386.0
2013-07-21,124.89,125.42,124.65,125.11,5768261.0
2013-07-14,123.52,124.3,123.32,124.13,6584026.0
2013-07-07,118.08,118.18,116.74,118.09,11593512.0
2013-06-30,115.22,119.33,114.68,119.11,32986544.0
2013-06-23,125.16,125.57,124.46,125.05,16600184.0
2013-06-16,134.0,134.6,133.88,134.43,4274220.0
2013-06-09,134.11,134.62,133.18,133.28,11057790.0
2013-06-02,135.71,136.05,133.89,133.92,9726565.0
2013-05-26,134.11,134.51,133.64,133.76,5522984.0
2013-05-19,133.17,133.48,131.02,131.07,20349768.0
2013-05-12,138.22,139.75,137.26,139.6,14657797.0
2013-05-05,141.7,142.71,141.4,142.09,11671919.0
2013-04-28,142.3,143.43,140.04,140.91,19313588.0
2013-04-21,136.0,136.02,134.6,135.47,15666375.0
2013-04-14,148.65,148.85,143.43,143.95,55601767.0
2013-04-07,151.54,152.96,151.07,152.81,14491938.0
2013-03-31,154.5,154.8,154.22,154.47,6851500.0
2013-03-24,155.45,155.99,155.42,155.55,4746376.0
2013-03-17,154.12,154.72,153.97,154.0,5701573.0
2013-03-10,151.61,153.29,151.4,152.71,11860089.0
2013-03-03,153.16,153.61,152.14,152.44,11179550.0
2013-02-24,152.26,152.99,151.93,152.97,10093910.0
2013-02-17,156.42,156.58,154.56,155.76,23374857.0
2013-02-10,161.46,162.02,161.2,161.57,6086536.0
2013-02-03,162.66,162.77,160.87,161.45,12904577.0
2013-01-27,160.56,161.04,160.31,160.65,9037761.0
2013-01-20,163.95,163.97,163.02,163.09,10038832.0
2013-01-13,161.86,161.9,160.11,161.06,13676627.0
2013-01-06,159.52,160.64,158.89,160.44,19179855.0
2012-12-30,160.94,160.97,160.15,160.54,6854193.0
2012-12-23,159.82,160.76,159.78,160.33,13445841.0
2012-12-16,164.17,164.48,164.02,164.13,5352140.0
2012-12-09,164.88,165.22,164.6,165.16,7290613.0
2012-12-02,166.94,167.22,165.53,166.05,8414250.0
2012-11-25,167.97,170.01,167.8,169.61,6110069.0
2012-11-18,165.76,166.35,165.48,165.88,1475600.0
2012-11-11,168.26,168.53,167.56,167.82,1717016.0
2012-11-04,164.46,164.47,162.3,162.6,3061990.0
2012-10-28,166.25,166.6,165.77,165.94,1064319.0
2012-10-21,168.43,168.45,166.23,166.94,3158881.0
2012-10-14,171.17,171.41,169.82,170.05,2276768.0
2012-10-07,172.87,173.37,172.01,172.62,2473142.0
2012-09-30,172.04,172.48,171.34,172.02,2768179.0
2012-09-23,172.9,173.18,171.54,171.96,3203719.0
2012-09-16,171.89,172.22,171.31,171.8,3754754.0
2012-09-09,167.76,169.0,167.37,168.44,4473850.0
2012-09-02,161.14,164.22,159.56,164.22,4998993.0
2012-08-26,161.9,162.33,161.34,161.96,1950200.0
2012-08-19,157.02,157.07,156.27,156.72,1613780.0
2012-08-12,156.88,157.82,156.66,157.22,1208510.0
2012-08-05,154.65,155.89,154.43,155.55,2388573.0
2012-07-29,157.65,157.96,156.66,157.61,2612491.0
2012-07-22,152.96,154.0,152.75,153.67,1356003.0
2012-07-15,153.44,154.93,153.44,154.14,1486143.0
2012-07-08,154.24,154.49,152.96,153.72,2280468.0
2012-07-01,155.08,155.95,154.52,155.19,3122708.0
2012-06-24,152.0,152.7,151.22,152.64,1609631.0
2012-06-17,157.75,158.45,157.42,157.84,3171420.0
2012-06-10,153.05,154.83,153.02,154.73,3122578.0
2012-06-03,155.38,158.28,154.88,157.5,7097940.0
2012-05-27,151.88,152.84,151.64,152.68,1612833.0
2012-05-20,154.45,155.11,153.98,154.55,2889616.0
2012-05-13,153.45,154.47,153.26,153.57,1888486.0
2012-05-06,158.81,159.96,158.57,159.47,2506535.0
2012-04-29,161.78,161.96,161.19,161.38,1518153.0
2012-04-22,159.29,159.9,159.21,159.54,1323678.0
2012-04-15,162.46,162.46,160.17,160.85,2168753.0
2012-04-08,157.87,158.68,157.78,158.31,1975685.0
2012-04-01,161.7,162.33,161.25,162.14,1837276.0
2012-03-25,160.87,161.88,160.53,161.53,2601747.0
2012-03-18,160.07,161.54,159.95,161.3,3144427.0
2012-03-11,163.64,166.57,163.25,166.4,3064132.0
2012-03-04,166.27,166.83,165.63,166.36,2188043.0
2012-02-26,172.63,173.04,172.0,172.25,2016945.0
2012-02-19,168.32,168.33,166.88,167.37,1506397.0
2012-02-12,166.47,167.62,166.34,167.14,2165913.0
2012-02-05,169.92,170.14,167.51,167.66,4605147.0
2012-01-29,167.46,169.0,167.42,168.97,3035357.0
2012-01-22,160.5,162.09,160.31,162.07,3425641.0
2012-01-15,161.0,161.61,159.84,159.26,0.0
2012-01-08,158.54,158.63,156.4,157.2,2191886.0
2012-01-01,149.1,150.72,148.28,151.99,0.0
2011-12-25,156.33,156.8,155.33,156.31,0.0
2011-12-18,154.32,155.37,153.91,155.23,3458121.0
