         non-standardized x and y (A=228)  , standardized x and y (A=228)
"FP001", 0.21500323467648985               , 1.0934306407060939
"FP002", 0.2588632895014199               , 1.028791385409062
"FP003", 0.20579568544462193               , 0.9764653363570485
"FP004", 0.24013178312312755               , 1.0757822855321881
"FP005", 0.21647724531570212               , 1.018565112235993
"FP006", 0.23365614770379023               , 1.0263302921224766
"FP007", 0.18513378679702444               , 0.9439501239461229
"FP008", 0.20763719123530716               , 1.04841383614372
"FP009", 0.16398514647699397               , 1.050413764936305
"FP010", 0.15705107417434253               , 1.0697730182872605
"FP011", 0.23729704398404236               , 1.0178260511516104
"FP012", 0.21424712325785178               , 1.0352666525300602
"FP013", 0.15787025852702763               , 1.0416190691519853
"FP014", 0.15742222738026337               , 1.0723712040108138
"FP015", 0.26378549866053175               , 1.0716617353896256
"FP016", 0.2064277150763983               , 0.979717584661509
"FP017", 0.1300560540106833               , 0.976595601663662
"FP018", 0.255493214534931               , 1.0348583076858864
"FP019", 0.20557384499793946               , 1.09524864203653
"FP020", 0.1706446426054839               , 0.9838894281581118
"FP021", 0.1357182832223245               , 0.9840855809848351
"FP022", 0.15515326626424006               , 1.0467008204005688
"FP023", 0.1642442015034351               , 0.9881923820939698
"FP024", 0.1967727232852542               , 1.0560677741936375
"FP025", 0.15275844934717217               , 1.0388969979334113
"FP026", 0.13161109021164114               , 1.007448169698017
"FP027", 0.175880643099667               , 1.013564493005254
"FP028", 0.09857478964984241               , 0.9214721569624796
"FP029", 0.2305262059243438               , 1.0175883845742872
"FP030", 0.12262341996660193               , 0.9377003434625174
"FP031", 0.13154286550703148               , 0.9301297984976281
"FP032", 0.15462185623232863               , 1.0175491604532152
"FP033", 0.1514899761995906               , 1.0435743163383917
"FP034", 0.14399394245729014               , 1.06113931148476
"FP035", 0.11318478154543554               , 0.9558314216454082
"FP036", 0.12783586215605602               , 0.8911303901911009
"FP037", 0.17341901097895251               , 0.943552185367701
"FP038", 0.14584294425811878               , 1.0460980769364208
"FP039", 0.15691171693564285               , 0.967754079984858
"FP040", 0.21903585135452322               , 0.9776749577070568
"FP041", 0.12553299181107425               , 1.0057829881937577
"FP042", 0.11884934900137824               , 1.0381829311768727
"FP043", 0.19262826369980643               , 0.9218477469479173
"FP044", 0.14738189545207972               , 0.983613093519475
"FP045", 0.0837773686341512               , 0.847284144770932
"FP046", 0.21616731858709165               , 1.0617564436725524
"FP047", 0.19503167608445646               , 1.0126659469440606
"FP048", 0.20980172489612384               , 1.0806927598933598
"FP049", 0.15677090184313341               , 1.0375483564690096
"FP050", 0.2402550138953524               , 0.9791145535953801
"FP051", 0.21539054944294211               , 1.045767151526586
"FP052", 0.13928731275677542               , 1.0377507953702196
"FP053", 0.16996709872634777               , 1.077630492299884
"FP054", 0.11558900351078384               , 1.018611738352976
"FP055", 0.11539693891383081               , 0.9892502805494934
"FP056", 0.11366308060002636               , 1.0039600537790845
"FP057", 0.14390728557036797               , 0.9594142265530363
"FP058", 0.15550410196656822               , 1.0811358314023882
"FP059", 0.2112866839262494               , 0.9508279403491963
"FP060", 0.356614797434412               , 1.0025327531786195
"FP061", 0.25429940327380857               , 0.9951743751962777
"FP062", 0.23695649940739358               , 1.0376368822932647
"FP063", 0.37318586664066183               , 0.9912285779900682
"FP064", 0.2442474556007408               , 0.9867075433858302
"FP065", 0.283301581405554               , 1.067460825229057
"FP066", 0.22380223066584415               , 0.9779201348133678
"FP067", 0.23500394182793016               , 1.0185568314143127
"FP068", 0.25319474273616843               , 1.059142897447601
"FP069", 0.18137922965688938               , 0.9851611139188892
"FP070", 0.2082748144685985               , 0.9920526178710171
"FP071", 0.25232875420660933               , 0.9581031865309143
"FP072", 0.3321163887820683               , 1.0263763900312766
"FP073", 0.27716297869751905               , 1.0877644216491116
"FP074", 0.2967412903984337               , 0.9736722114448044
"FP075", 0.24547099249703452               , 0.9273678047845106
